Hra / Poznámka,Název hry,BGG ID,Jazyky,Umístění,Datum přidání
GAME,DAO,,,,1.1.2022
GAME,Darjeeling,,,,1.1.2022
GAME,Dark Domains,,,,1.1.2022
GAME,Dark Souls,,,,1.1.2022
,Rozšíření: Dark Root,,,,
GAME,Decrypto,,,,1.1.2022
GAME,Dědictví,,,,1.1.2022
GAME,Dejá vu: Fragments of memory,,,,1.1.2022
GAME,Descent: Výpravy do temnot,,,,1.1.2022
,Rozšíření: Labyrint skázy,,,,
,Rozšíření: Stíny Nerakkalu,,,,
GAME,Desítka,,,,1.1.2022
,Rozšíření,,,,
GAME,Desítka – Česko,,,,1.1.2022
GAME,Děsnej krvák,,,,1.1.2022
GAME,Detektiv: Po stopách zločinu,,,,1.1.2022
,Rozšíření: Zločin v L.A,,,,
GAME,Detektivní únikovka – Leopold – díl 1. Kyvadlo zesnulých,,,,1.1.2022
GAME,Detektivní únikovka – Leopold – díl 1. Bílý spánek,,,,1.1.2022
GAME,Deus,,,,1.1.2022
GAME,Dice Forge,,,,1.1.2022
GAME,Dice Settlers,,,,1.1.2022
GAME,Dice Throne,,,,1.1.2022
GAME,Dice Town,,,,1.1.2022
,Rozšíření: Dice Town – Expansion,,,,
GAME,Die Holde Isolde,,,,1.1.2022
GAME,Die Macher,,,,1.1.2022
GAME,Difference,,,,1.1.2022
GAME,Dinosaur Island,,,,1.1.2022
,Deluxe edice,,,,
,Rozšíření: Totally Liquid,,,,
GAME,Discover: Země neznámé,,,,1.1.2022
GAME,Disko Švábi,,,,1.1.2022
GAME,Divočina,,,,1.1.2022
GAME,Divoký západ,,,,1.1.2022
GAME,Divukraj,,,,1.1.2022
GAME,Dixit,,,,1.1.2022
,"Rozšíření: 2,3,4,5,6,7,8,9",,,,
GAME,Dixit Odyssey,,,,1.1.2022
GAME,Doba kamenná,,,,1.1.2022
,Rozšíření: Stylově k cíli,,,,
GAME,Doba kamenná Junior,,,,1.1.2022
GAME,Dobble,,"CZ, ENG",,1.1.2022
GAME,Dobble Star Wars,,,,1.1.2022
GAME,Dobble Kids,,,,1.1.2022
GAME,Dobyvatelé vesmíru,,,,1.1.2022
GAME,Dokonalý pár,,,,1.1.2022
GAME,Dominion,,,,1.1.2022
,Rozšíření: Roh hojnosti,,,,
,Rozšíření: Temné časy,,,,
GAME,DOOM,,,,1.1.2022
GAME,Dorn,,,,1.1.2022
GAME,Dostihy a sázky,,,,1.1.2022
GAME,Dračí srdce,,,,1.1.2022
GAME,Draftosaurus,,,,1.1.2022
GAME,Drop It,,,,1.1.2022
GAME,Duelosaur Island,,,,1.1.2022
GAME,Duch!,,,,1.1.2022
,Feztovní vydání,,,,
GAME,Duchová v koupelně,,,,1.1.2022
GAME,Dune,,,,1.1.2022
GAME,Dungeon Fighter,,,,1.1.2022
,4 Rozšížení,,,,
GAME,Dungeonology: the expedition,,,,1.1.2022
,Rozšíření: Circe,,,,
GAME,Eclipse: Second Dawn for the Galaxy,,,,1.1.2022
,World’s Afar Expansion,,,,
,Playmat,,,,
GAME,Eldritch Horror,,,,1.1.2022
GAME,Empatia,,,,1.1.2022
GAME,Empires of the Void II,,,,1.1.2022
GAME,Enclave,,,,1.1.2022
GAME,Enigma,,,,1.1.2022
GAME,Endeavor: Age of Sail,,,,1.1.2022
GAME,Endogenesis,,,,1.1.2022
GAME,envyra,,,,1.1.2022
GAME,Escape: Big Box,,,,1.1.2022
GAME,Escape Plan,,,,1.1.2022
GAME,Escape Room 2,,,,1.1.2022
GAME,Ethnos,,,,1.1.2022
GAME,Euphoria: Cestou k lepší dystopii,,,,1.1.2022
GAME,Euphrat & Tigris,,,,1.1.2022
GAME,Everdell ,,,,1.1.2022
,Collector’s Edition,,,,
,Rozšíření: Pearlbrook,,,,
,Rozšíření: Spirecrest,,,,
,Rozšíření: Bellfaire,,,,
GAME,Evoluce: O původu druhů,,,,1.1.2022
,Rozšíření: Čas létat,,,,
,Rozšíření: Kontinenty,,,,
GAME,Evropa – otázky a odpovědi,,,,1.1.2022
GAME,Ex Libris,,,,1.1.2022
GAME,Exploding kittens,,,,1.1.2022
,Original Edition,,,,
,NSFW deck,,,,
GAME,Faceless,,,,1.1.2022
GAME,Factory funner,,,,1.1.2022
GAME,Fallout,,,,1.1.2022
,Rozšíření: Nová Kalifornie,,,,
GAME,Famiglia,,,,1.1.2022
GAME,Fauna,,,,1.1.2022
GAME,Fireball Island: The Curse of Vul Kar,,,,1.1.2022
,Rozšíření: Wreck of the Crimson Cutlass,,,,
,Rozšíření: Crouching Tiger Hidden Bees,,,,
,Rozšíření: The Last Adventurer,,,,
GAME,Flora,,,,1.1.2022
GAME,Food Chain Magnate,,,,1.1.2022
,Rozšíření: The Ketchup Mechanism and Other Ideas,,,,
GAME,Forbidden Stars,,CZ,,1.1.2022
GAME,Fresco: Big Box,,,,1.1.2022
GAME,Fuji Koro Deluxe,,,,1.1.2022
,Playmat,,,,
GAME,Fuse,,,,1.1.2022
,Žoliková kostka,,,,
GAME,Gaia Project,,,,1.1.2022
GAME,Galaxy Trucker,,,,1.1.2022
,"Rozšíření: Mise, Nové lodě, Velké Rozšíření: a Další velké rozšíření",,,,
GAME,Game of Trains,,,,1.1.2022
GAME,Get bit,,,,1.1.2022
GAME,Ghost Stories,,,,1.1.2022
,Rozšíření: White Moon,,,,
GAME,Glen More II: Chronicles,,,,1.1.2022
GAME,Gobbit,,,,1.1.2022
GAME,God of War,,,,1.1.2022
GAME,GOLD,,,,1.1.2022
GAME,Graenaland,,,,1.1.2022
GAME,Great Western Trail,,,,1.1.2022
GAME,Greenland,,,,1.1.2022
GAME,Gugong,,,,1.1.2022
GAME,Hadara,,,,1.1.2022
GAME,Halali,,,,1.1.2022
GAME,Hanabi,,,,1.1.2022
GAME,Harry Potter: Hogwarts Battle,,,,1.1.2022
,Rozšíření: The Monster Box of Monsters,,,,
GAME,Harry Potter – Kouzelnické šachy,,,,1.1.2022
GAME,HATE!,,,,1.1.2022
,Rozšíření: Mother Prophecy,,,,
,Rozšíření: Tribe of Vore Nash,,,,
,Rozšíření: Tribe of Um’Tull,,,,
,Rozšíření: Tribe of Sarrassa,,,,
,Rozšíření: Battlegrounds of Hate,,,,
,"Rozšíření: 3D Plastic Plateaus, 3D Plastic Huts Expansion, 3D Plastic Trees",,,,
,Art Book,,,,
GAME,Hellboy,,,,1.1.2022
,Rozšíření: Box Full of Evil,,,,
GAME,Heroes of Black Reach,,,,1.1.2022
GAME,Heroes of Tenefyr,,,,1.1.2022
GAME,Hexpanse,,,,1.1.2022
GAME,Hlavně klid!,,,,1.1.2022
GAME,Hledá se hrdina,,,,1.1.2022
GAME,Honba za prstenem,,,,1.1.2022
GAME,Horký brambor – Junior,,,,1.1.2022
GAME,Hra o Trůny – Desková hra,,,,1.1.2022
,Rozšíření: Matka draků,,,,
GAME,Hra o trůny: Intriky Západozemí,,,,1.1.2022
GAME,Hra o trůny: Železný trůn,,,,1.1.2022
GAME,Hrdina v kostce,,,,1.1.2022
GAME,Hrdinové bez záruky,,,,1.1.2022
GAME,Hurá na houby,,,,1.1.2022
GAME,Hustá mela,,,,1.1.2022
GAME,Hyperborea,,,,1.1.2022
GAME,Hypergrid,,,,1.1.2022
GAME,Champions of midgard,,,,1.1.2022
,Rozšíření: Jarl Edition,,,,
,Playmat,,,,
GAME,Chňapni pejska,,,,1.1.2022
GAME,Churchill,,,,1.1.2022
GAME,Chyť lva,,,,1.1.2022
GAME,Icaion,,,,1.1.2022
GAME,Ice Cool – Ledová škola,,,,1.1.2022
GAME,Igloo Mania,,,,1.1.2022
GAME,iKnow,,,,1.1.2022
GAME,iKnow All in,,,,1.1.2022
GAME,iKnow Česko,,,,1.1.2022
GAME,iKnow Mini Inovace,,,,1.1.2022
GAME,iKnow Mini Lifestyle,,,,1.1.2022
GAME,iKnow Mini Svět,,,,1.1.2022
GAME,Indus,,,,1.1.2022
GAME,Inis,,,,1.1.2022
GAME,Inovace,,,,1.1.2022
GAME,Insula,,,,1.1.2022
GAME,Inuit The Snow Folk,,,,1.1.2022
GAME,Invaders,,,,1.1.2022
GAME,Istanbul,,,,1.1.2022
GAME,It’s a Wonderful World,,,,1.1.2022
GAME,Jackal & High,,,,1.1.2022
GAME,Jak jako jak?,,,,1.1.2022
GAME,Jedním slovem,,,,1.1.2022
GAME,Jídlo s.r.o.,,,,1.1.2022
GAME,"Jízdenky, prosím! Evropa",,,,1.1.2022
GAME,"Jízdenky, prosím!",,,,1.1.2022
GAME,Jižní Morava,,,,1.1.2022
GAME,John Company,,,,1.1.2022
GAME,Jungle Speed,,,,1.1.2022
GAME,Junk Art: Umění odpadu,,,,1.1.2022
GAME,Kaleidoskop,,,,1.1.2022
GAME,"Kámen, zbraně, papír",,,,1.1.2022
GAME,Kamionem po Evropě,,,,1.1.2022
GAME,Kanagawa,,,,1.1.2022
GAME,Kanban EV,,,,1.1.2022
GAME,Karty mrtvého muže,,,,1.1.2022
GAME,Katamino,,,,1.1.2022
GAME,Kde leží Uppsala,,,,1.1.2022
GAME,Keltis,,,,1.1.2022
GAME,Kemet,,,,1.1.2022
GAME,Khronos,,,,1.1.2022
GAME,Kill the Unicorns,,,,1.1.2022
GAME,Kingdom Builder Big Box,,,,1.1.2022
GAME,Kingdomino,,,,1.1.2022
,Rozšíření: Věk obrů,,,,
GAME,Kitchen Rush,,,,1.1.2022
,Rozšíření: Piece of Cake,,,,
GAME,Kleine Fotosafari,,,,1.1.2022
GAME,Klub Ztroskotanců,,,,1.1.2022
GAME,Kmotr: Impérium Corleonů,,,,1.1.2022
GAME,Kočičí klub,,,,1.1.2022
GAME,Kolonie,,,,1.1.2022
GAME,Komu zvoní tramvaj,,,,1.1.2022
GAME,Koncept,,,,1.1.2022
GAME,Korrigans,,,,1.1.2022
GAME,Kostky,,,,1.1.2022
GAME,Krabčáci,,,,1.1.2022
GAME,Královské rošády,,,,1.1.2022
GAME,Kronika zločinu,,,,1.1.2022
,Noir,,,,
GAME,Krycí jména,,,,1.1.2022
GAME,Krycí jména: Duet,,,,1.1.2022
GAME,Krycí jména: Obrázky,,,,1.1.2022
GAME,Krysí válka,,,,1.1.2022
GAME,Kuba,,,,1.1.2022
GAME,Kvedlalové z Kvedlinburku,,,,1.1.2022
GAME,Kvízy do kapsy – 2. světová válka,,,,1.1.2022
GAME,Kvízy do kapsy – 60. léta,,,,1.1.2022
GAME,Kvízy do kapsy – 70. léta,,,,1.1.2022
GAME,Kvízy do kapsy – 80. léta,,,,1.1.2022
GAME,Kvízy do kapsy – 90. léta,,,,1.1.2022
GAME,Kvízy do kapsy – Česká města,,,,1.1.2022
GAME,Kvízy do kapsy – Filmové hlášky,,,,1.1.2022
GAME,Kvízy do kapsy – Filmové hlášky II,,,,1.1.2022
GAME,Kvízy do kapsy – Olympijské hry II,,,,1.1.2022
GAME,Kvízy do kapsy – Svět piva,,,,1.1.2022
GAME,Kvízy do kapsy – Svět tenisu,,,,1.1.2022
GAME,Kvízy do kapsy – Světová historie,,,,1.1.2022
GAME,Kvízy do kapsy – Světové osobnosti,,,,1.1.2022
GAME,Kvízy do kapsy – Víno a vinařství,,,,1.1.2022
GAME,Kyvadlo,,,,1.1.2022
GAME,Labužníci,,,,1.1.2022
GAME,Lascaux – Lov bez oštěpu,,,,1.1.2022
GAME,Le Havre,,,,1.1.2022
GAME,Leaving Earth,,,,1.1.2022
GAME,Legendary Creatures,,,,1.1.2022
GAME,Legendy Západu,,,,1.1.2022
,"Rozšíření: Hodný, zlý a pohledný a Hrst novinek",,,,
GAME,Legendy země Euthie,,,,1.1.2022
GAME,Leo musí ke kadeřníkovi,,,,1.1.2022
GAME,Letopisy Západního království,,,,1.1.2022
GAME,Letter Jam,,,,1.1.2022
GAME,Levá & Pravá,,,,1.1.2022
GAME,Lewis & Clark,,,,1.1.2022
GAME,Lisboa,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Liška podšitá,,,,1.1.2022
GAME,Loony Quest,,,,1.1.2022
GAME,Lords of Hellas ,,CZ,,1.1.2022
GAME,Lords of Hellas,,ENG ,,1.1.2022
, Warlord box,,,,
,Rozšíření: Terrain Expansion,,,,
,Rozšíření: Atlas,,,,
,Rozšíření: City of Steel,,,,
,Rozšíření: Lords of the sun,,,,
,Rozšíření: Kronos rebellion,,,,
GAME,Lorenzo il Magnifico,,,,1.1.2022
GAME,Lotos,,,,1.1.2022
GAME,Machi Koro,,,,1.1.2022
,Rozšíření: Velkoměsto,,,,
GAME,Mage Knight,,,,1.1.2022
GAME,Mage Knight: Ultimátní edice,,,,1.1.2022
GAME,Magic The Gathering,,,,1.1.2022
,Commander Anthology Volume II,,,,
GAME,Majesty,,,,1.1.2022
GAME,Makroskop,,,,1.1.2022
GAME,Malá velká dobrodružství,,,,1.1.2022
GAME,Malá velká království,,,,1.1.2022
,Rozšíření: Úsvit hrdinů,,,,
GAME,Malé velké galaxie,,,,1.1.2022
,Drones,,,,
,Rozšíření: Do neznáma,,,,
GAME,Malé velké zombie,,,,1.1.2022
GAME,Mamma Mia!,,,,1.1.2022
GAME,Mandala,,,,1.1.2022
GAME,Mangrovia,,,,1.1.2022
GAME,Marco Polo,,,,1.1.2022
GAME,Marco Polo II,,,,1.1.2022
GAME,Mariášky,,,,1.1.2022
GAME,Marrakech,,,,1.1.2022
GAME,Mars Teraformace,,,,1.1.2022
,Hellas a Elysium a promokarty,,,,
,Rozšíření: Venuše,,,,
,Rozšíření: Předehra,,,,
,Rozšíření: Kolonie,,,,
,Rozšíření: Neklid,,,,
GAME,Marvel Champions: karetní hra,,,,1.1.2022
GAME,Marvel X-Men: Povstání mutantů,,,,1.1.2022
GAME,Masquerade,,,,1.1.2022
GAME,Masques,,,,1.1.2022
GAME,Master of Orion,,,,1.1.2022
GAME,Masters of Renaissance: Lorenzo Il Magnifico,,,,1.1.2022
GAME,Mazaný lišák,,,,1.1.2022
GAME,Maškarní bál,,,,1.1.2022
GAME,McJohny’s,,,,1.1.2022
GAME,Medvěd Wrr,,,,1.1.2022
GAME,Mech vs. Minions,,,,1.1.2022
GAME,Memoarrr!,,,,1.1.2022
GAME,Metal Adventures,,,,1.1.2022
GAME,Mezi dvěma zámky šíleného krále Ludvíka,,,,1.1.2022
GAME,Mezo,,,,1.1.2022
GAME,MikroMakro: Město zločinu,,,,1.1.2022
GAME,Micro Robots,,,,1.1.2022
GAME,Milostný dopis,,,,1.1.2022
GAME,Minutová říše: Legendy,,,,1.1.2022
GAME,Miremarsh – The Boardgame,,,,1.1.2022
,Kickstarted Edice – All-in,,,,
GAME,Mise: Kolonizace,,,,1.1.2022
GAME,Mnoho Monster,,,,1.1.2022
GAME,Modrá Laguna,,,,1.1.2022
GAME,Moje zlato!,,,,1.1.2022
GAME,Mombasa,,,,1.1.2022
GAME,Monstrum: Frankensteinovi dědicové,,,,1.1.2022
GAME,Monumental,,,,1.1.2022
,Rozšíření: The Lost Kingdoms,,,,
GAME,Moonriser,,,,1.1.2022
GAME,Moonshiners of the Apocalypse,,,,1.1.2022
GAME,Mořeplavci,,,,1.1.2022
GAME,Moštárna,,,,1.1.2022
GAME,Multiuniversum,,,,1.1.2022
GAME,Munchkin,,,,1.1.2022
,"Rozšíření: 2, 3, 4, 5, 6, 7 a 8",,,,
GAME,Munchkin Podzemí,,,,1.1.2022
GAME,Myrmes,,,,1.1.2022
GAME,Mysterium,,,,1.1.2022
,Rozšíření: Skrytá znamení,,,,
GAME,Mysthea,,,,1.1.2022
GAME,Mythic Battles: Pantheon,,,,1.1.2022
,Kickstarter God Pledge,,,,
GAME,Na drátě,,,,1.1.2022
GAME,Na křídlech,,,,1.1.2022
GAME,Na prodej,,,,1.1.2022
GAME,Nájezdníci ze severu,,,,1.1.2022
GAME,Nanty Narking,,,,1.1.2022
,Playmat,,,,
GAME,Narcos,,,,1.1.2022
GAME,Neanderthal: Lovci mamutů,,,,1.1.2022
GAME,Near and Far,,,,1.1.2022
GAME,Nejsme tu sami,,,,1.1.2022
,Minirozšíření,,,,
GAME,Nemesis,,"CZ, ENG",,1.1.2022
,Kickstarted Edice – All-in ,,,,
GAME,Neobvyklí podezřelí,,,,1.1.2022
GAME,Neuroshima Hex 3.0,,,,1.1.2022
GAME,New York 1901,,,,1.1.2022
GAME,Neta Tanka Deluxe edition,,,,1.1.2022
GAME,Nidavellir,,,,1.1.2022
GAME,Nightmare,,,,1.1.2022
GAME,NMBR 9,,,,1.1.2022
GAME,Noctiluca,,,,1.1.2022
GAME,Notre Dame,,,,1.1.2022
GAME,Nyctophobia,,,,1.1.2022
GAME,Obludárium,,,,1.1.2022
GAME,Off the Rails,,,,1.1.2022
GAME,Okanagan: Valley of the Lakes,,,,1.1.2022
GAME,Ominoes: Kostky bohů,,,,1.1.2022
GAME,On Mars,,,,1.1.2022
GAME,Onirim,,,,1.1.2022
GAME,Origin: Počátek lidstva,,,,1.1.2022
GAME,Ostrov Skye,,,,1.1.2022
GAME,Outlive,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Ovce: Boj o pastviny,,,,1.1.2022
GAME,OVO,,,,1.1.2022
GAME,Pacific ’42 Admiral,,,,1.1.2022
GAME,Paku paku,,,,1.1.2022
GAME,Paladinové Západního království,,,,1.1.2022
GAME,Pán prstenů – karetní hra,,,,1.1.2022
GAME,Pán prstenů: Putování po Středozemi,,,,1.1.2022
GAME,Pandemic,,,,1.1.2022
,Rozšíření: Laboratoř,,,,
,Rozšíření: Nové hrozby,,,,
,Rozšíření: Stav ohrožení,,,,
GAME,Pandemic: Rychlé nasazení,,,,1.1.2022
GAME,Pandorum,,,,1.1.2022
GAME,Panovník,,,,1.1.2022
GAME,Panství hrůzy,,,,1.1.2022
,Svatyně soumraku,,,,
,Děsivé výpravy,,,,
GAME,Pantheon,,,,1.1.2022
GAME,Paranormální detektivové,,,,1.1.2022
GAME,Paris,,,,1.1.2022
GAME,Parks,,,,1.1.2022
,Playmat,,,,
GAME,Párty Alias,,,,1.1.2022
GAME,"Párty Alias: Hádej, kdo jsi",,,,1.1.2022
GAME,Párty Alias: Ženy vs muži,,,,1.1.2022
GAME,Párty věž,,,,1.1.2022
GAME,Patchwork,,,,1.1.2022
GAME,Pax Renaissance,,,,1.1.2022
,Rozšíření: BGG Promo karty a Rozšíření,,,,
GAME,Phantom,,,,1.1.2022
GAME,Pick & Pack,,,,1.1.2022
GAME,Pictomania,,,,1.1.2022
GAME,Pikantní kočky,,,,1.1.2022
GAME,Pilíře země,,,,1.1.2022
GAME,Pipeline,,,,1.1.2022
GAME,Piráti,,,,1.1.2022
GAME,Pirátské kostky,,,,1.1.2022
GAME,Pivní hra,,,,1.1.2022
GAME,Plague Inc.: The Board Game,,,,1.1.2022
,Rozšíření: Armageddon,,,,
GAME,Planetarium,,,,1.1.2022
,Rozšíření: Primordial,,,,
GAME,Plyšová hlídka,,,,1.1.2022
GAME,Pocket Dragons,,,,1.1.2022
GAME,Pocket Ops – Deduction and Area Control,,,,1.1.2022
GAME,Podmořská města,,,,1.1.2022
GAME,Pohádkáři,,,,1.1.2022
GAME,Poker,,,,1.1.2022
GAME,Policajti,,,,1.1.2022
GAME,Portal: Nespolečenská hra o sbírání dortů,,,,1.1.2022
GAME,Port Royal,,,,1.1.2022
,Rozšíření: Kontrakt,,,,
,Rozšíření: 2,,,,
GAME,Poslední slovo,,,,1.1.2022
GAME,Poštovní kurýr,,,,1.1.2022
GAME,Potato Man,,,,1.1.2022
GAME,Pozvedněte číše,,,,1.1.2022
GAME,Pravěk,,,,1.1.2022
GAME,Praga Caput Regni,,,,1.1.2022
GAME,Pekelný stroj: Moriarty vs. Sherlock,,,,1.1.2022
